"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2337","TC_LOGIN_021: Click Forgot Password → redirect đúng trang","chromium","Sun May 24 15:03:06 UTC 2026","passed","Sun May 24 15:03:08 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","2618","TC_LOGIN_014: Email sai, Password đúng","chromium","Sun May 24 15:02:53 UTC 2026","passed","Sun May 24 15:02:56 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","2419","TC_LOGIN_011: Lỗi server-side khi trống Password","chromium","Sun May 24 15:02:46 UTC 2026","passed","Sun May 24 15:02:49 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","4103","TC_LOGIN_026: Logout redirect về trang Login","chromium","Sun May 24 15:03:19 UTC 2026","passed","Sun May 24 15:03:23 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","2573","TC_LOGIN_001: Verify trang Login hiển thị đầy đủ","chromium","Sun May 24 15:02:28 UTC 2026","passed","Sun May 24 15:02:31 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","2388","TC_LOGIN_012: Lỗi khi trống cả Email và Password","chromium","Sun May 24 15:02:49 UTC 2026","passed","Sun May 24 15:02:51 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","4890","TC_LOGIN_020: Đã login → truy cập login → redirect Dashboard","chromium","Sun May 24 15:03:01 UTC 2026","passed","Sun May 24 15:03:06 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","2130","TC_LOGIN_004: Password field hiển thị masked","chromium","Sun May 24 15:02:35 UTC 2026","passed","Sun May 24 15:02:38 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","2458","TC_LOGIN_013: Email đúng, Password sai","chromium","Sun May 24 15:02:51 UTC 2026","passed","Sun May 24 15:02:53 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","4046","TC_LOGIN_009: Đăng nhập thành công","chromium","Sun May 24 15:02:40 UTC 2026","passed","Sun May 24 15:02:44 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","4628","TC_LOGIN_027: Back button sau Logout không quay lại Dashboard","chromium","Sun May 24 15:03:23 UTC 2026","passed","Sun May 24 15:03:28 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","2442","TC_LOGIN_016: Email >500 ký tự","chromium","Sun May 24 15:02:59 UTC 2026","passed","Sun May 24 15:03:01 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","2229","TC_LOGIN_003: HTML5 validation khi email thiếu domain","chromium","Sun May 24 15:02:33 UTC 2026","passed","Sun May 24 15:02:35 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","2456","TC_LOGIN_015: Cả Email và Password đều sai","chromium","Sun May 24 15:02:56 UTC 2026","passed","Sun May 24 15:02:59 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","2253","TC_LOGIN_010: Lỗi server-side khi trống Email","chromium","Sun May 24 15:02:44 UTC 2026","passed","Sun May 24 15:02:46 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","2886","TC_LOGIN_022: Forgot Password email hợp lệ","chromium","Sun May 24 15:03:08 UTC 2026","passed","Sun May 24 15:03:11 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","2648","TC_LOGIN_023: HTML5 validation Forgot Password trống email","chromium","Sun May 24 15:03:11 UTC 2026","passed","Sun May 24 15:03:14 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","2449","TC_LOGIN_025: HTML5 validation email sai format trên Forgot Password","chromium","Sun May 24 15:03:16 UTC 2026","passed","Sun May 24 15:03:19 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","2620","TC_LOGIN_024: Forgot Password email không tồn tại","chromium","Sun May 24 15:03:14 UTC 2026","passed","Sun May 24 15:03:16 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","2287","TC_LOGIN_005: Remember me mặc định unchecked","chromium","Sun May 24 15:02:38 UTC 2026","passed","Sun May 24 15:02:40 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
"","2065","TC_LOGIN_002: HTML5 validation khi email không có @","chromium","Sun May 24 15:02:31 UTC 2026","passed","Sun May 24 15:02:33 UTC 2026","CRM Authentication - Login Tests","auth/crm-login.spec.ts","",""
